Brand,Product,Category,URL,Product Title,Product Image,Sales Price,Regular Price,Datasheet,Technical Specification,Meta Description,Meta Keywords
siemens,Circuit Breakers,RCCBs,https://in.rsdelivers.com/product/siemens/3va9113-0rl20/siemens-3va9-rcd-160a-3-pole-type-a/2103513?backToResults=1,"Siemens 3VA9 RCD, 160A, 3 Pole, Type A","<img src=""https://res.cloudinary.com/rsc/image/upload/b_rgb:FFFFFF,c_pad,dpr_1.0,f_auto,q_auto,w_700/c_pad,w_700/Y2103513-01"" height=""300"" width=""300"">","₹ 102,586.66","₹ 121,052.26",https://docs.rs-online.com/0a29/A700000007232652.pdf,"<table><tr><td>Circuit Breaker Type</td><td>RCD</td></tr><tr><td>Current Rating</td><td>160A</td></tr><tr><td>Number of Poles</td><td>3</td></tr><tr><td>Range</td><td>Sentron</td></tr><tr><td>Tripping Characteristics</td><td>Type A</td></tr><tr><td>Series</td><td>3VA9</td></tr><tr><td>Better World Product (Find out more)</td><td>Yes</td></tr><tr><td>Better World Claim</td><td>Extended product life, Saves energy</td></tr><tr><td>Terminal Contact Type</td><td>Screw</td></tr><tr><td>Break Time</td><td>Time Delay</td></tr><tr><td>Mounting Style</td><td>Screw Mount</td></tr><tr><td>Rated AC Voltage</td><td>100 → 480V</td></tr><tr><td>Country of Origin</td><td>China</td></tr></table>","210-3513, Siemens, Siemens 3VA9 RCD, 160A, 3 Pole, Type A, Brand Siemens, Circuit Breaker Type RCD, Current Rating 160A, Number of Poles 3, Range Sentron, Tripping Characteristics Type A","210-3513, Siemens, Siemens 3VA9 RCD, 160A, 3 Pole, Type A, Brand Siemens, Circuit Breaker Type RCD, Current Rating 160A, Number of Poles 3, Range Sentron, Tripping Characteristics Type A, Series 3VA9, Better World Product Yes, Better World Claim Extended product life, Saves energy"
siemens,Circuit Breakers,RCCBs,https://in.rsdelivers.com/product/siemens/3va9124-0rl30/siemens-3va9-rcd-160a-4-pole-type-a/2103515?backToResults=1,"Siemens 3VA9 RCD, 160A, 4 Pole, Type A","<img src=""https://res.cloudinary.com/rsc/image/upload/b_rgb:FFFFFF,c_pad,dpr_1.0,f_auto,q_auto,w_700/c_pad,w_700/Y2103515-01"" height=""300"" width=""300"">","₹ 128,279.56","₹ 151,369.88",https://docs.rs-online.com/84e1/A700000007232660.pdf,"<table><tr><td>Circuit Breaker Type</td><td>RCD</td></tr><tr><td>Current Rating</td><td>160A</td></tr><tr><td>Number of Poles</td><td>4</td></tr><tr><td>Range</td><td>Sentron</td></tr><tr><td>Tripping Characteristics</td><td>Type A</td></tr><tr><td>Series</td><td>3VA9</td></tr><tr><td>Better World Product (Find out more)</td><td>Yes</td></tr><tr><td>Better World Claim</td><td>Extended product life, Saves energy</td></tr><tr><td>Terminal Contact Type</td><td>Screw</td></tr><tr><td>Break Time</td><td>Time Delay</td></tr><tr><td>Mounting Style</td><td>Screw Mount</td></tr><tr><td>Rated AC Voltage</td><td>100 → 690V</td></tr><tr><td>Country of Origin</td><td>China</td></tr></table>","210-3515, Siemens, Siemens 3VA9 RCD, 160A, 4 Pole, Type A, Brand Siemens, Circuit Breaker Type RCD, Current Rating 160A, Number of Poles 4, Range Sentron, Tripping Characteristics Type A","210-3515, Siemens, Siemens 3VA9 RCD, 160A, 4 Pole, Type A, Brand Siemens, Circuit Breaker Type RCD, Current Rating 160A, Number of Poles 4, Range Sentron, Tripping Characteristics Type A, Series 3VA9, Better World Product Yes, Better World Claim Extended product life, Saves energy"
siemens,Circuit Breakers,RCCBs,https://in.rsdelivers.com/product/siemens/3va9114-0rs10/siemens-3va9-rcd-160a-4-pole-type-a/2103514?backToResults=1,"Siemens 3VA9 RCD, 160A, 4 Pole, Type A","<img src=""https://res.cloudinary.com/rsc/image/upload/b_rgb:FFFFFF,c_pad,dpr_1.0,f_auto,q_auto,w_700/c_pad,w_700/Y2103514-01"" height=""300"" width=""300"">","₹ 67,126.89","₹ 79,209.73",https://docs.rs-online.com/19d4/A700000007232656.pdf,"<table><tr><td>Circuit Breaker Type</td><td>RCD</td></tr><tr><td>Current Rating</td><td>160A</td></tr><tr><td>Number of Poles</td><td>4</td></tr><tr><td>Range</td><td>Sentron</td></tr><tr><td>Tripping Characteristics</td><td>Type A</td></tr><tr><td>Series</td><td>3VA9</td></tr><tr><td>Better World Product (Find out more)</td><td>Yes</td></tr><tr><td>Better World Claim</td><td>Extended product life, Saves energy</td></tr><tr><td>Break Time</td><td>Instantaneous</td></tr><tr><td>Mounting Style</td><td>Screw Mount</td></tr><tr><td>Rated AC Voltage</td><td>127 → 480V</td></tr><tr><td>Terminal Contact Type</td><td>Screw</td></tr><tr><td>Country of Origin</td><td>China</td></tr></table>","210-3514, Siemens, Siemens 3VA9 RCD, 160A, 4 Pole, Type A, Brand Siemens, Circuit Breaker Type RCD, Current Rating 160A, Number of Poles 4, Range Sentron, Tripping Characteristics Type A","210-3514, Siemens, Siemens 3VA9 RCD, 160A, 4 Pole, Type A, Brand Siemens, Circuit Breaker Type RCD, Current Rating 160A, Number of Poles 4, Range Sentron, Tripping Characteristics Type A, Series 3VA9, Better World Product Yes, Better World Claim Extended product life, Saves energy"
siemens,Circuit Breakers,RCCBs,https://in.rsdelivers.com/product/siemens/3va9223-0rl30/siemens-3va9-rcd-250a-3-pole-type-a/2103528?backToResults=1,"Siemens 3VA9 RCD, 250A, 3 Pole, Type A","<img src=""https://res.cloudinary.com/rsc/image/upload/b_rgb:FFFFFF,c_pad,dpr_1.0,f_auto,q_auto,w_700/c_pad,w_700/Y2103528-01"" height=""300"" width=""300"">","₹ 116,699.39","₹ 137,705.28",https://docs.rs-online.com/5d7e/A700000007232708.pdf,"<table><tr><td>Circuit Breaker Type</td><td>RCD</td></tr><tr><td>Current Rating</td><td>250A</td></tr><tr><td>Number of Poles</td><td>3</td></tr><tr><td>Range</td><td>Sentron</td></tr><tr><td>Tripping Characteristics</td><td>Type A</td></tr><tr><td>Series</td><td>3VA9</td></tr><tr><td>Better World Claim</td><td>Extended product life, Saves energy</td></tr><tr><td>Better World Product (Find out more)</td><td>Yes</td></tr><tr><td>Terminal Contact Type</td><td>Screw</td></tr><tr><td>Break Time</td><td>Time Delay</td></tr><tr><td>Mounting Style</td><td>Screw Mount</td></tr><tr><td>Rated AC Voltage</td><td>100 → 690V</td></tr><tr><td>Country of Origin</td><td>China</td></tr></table>","210-3528, Siemens, Siemens 3VA9 RCD, 250A, 3 Pole, Type A, Brand Siemens, Circuit Breaker Type RCD, Current Rating 250A, Number of Poles 3, Range Sentron, Tripping Characteristics Type A","210-3528, Siemens, Siemens 3VA9 RCD, 250A, 3 Pole, Type A, Brand Siemens, Circuit Breaker Type RCD, Current Rating 250A, Number of Poles 3, Range Sentron, Tripping Characteristics Type A, Series 3VA9, Better World Claim Extended product life, Saves energy"
